"meanAge","outcomeProp","outcome_L","outcome_H","Type"
2.5,0.371736275783713,0.127537593014825,0.832500257020115,"Hospital"
7.5,0.518649023651286,0.191534209303714,1.12086206907617,"Hospital"
12.5,0.724188565673999,0.286778415371912,1.50497547022339,"Hospital"
17.5,1.01170304079529,0.42402608457964,2.02578151543891,"Hospital"
22.5,1.41357370031288,0.630765862635571,2.72194343079106,"Hospital"
27.5,1.97436752004741,0.934911543259791,3.65196066180298,"Hospital"
32.5,2.75472051025837,1.36614750921438,4.9483508833551,"Hospital"
37.5,3.83572492976841,1.97752132248692,6.64757336652721,"Hospital"
42.5,5.32308211532985,2.85621472639389,9.00445417387267,"Hospital"
47.5,7.34934921406212,4.04119619001937,12.104259686899,"Hospital"
52.5,10.0711768959178,5.65288097330437,16.2400522021493,"Hospital"
57.5,13.65681382135,7.79751949430079,21.5822995476955,"Hospital"
62.5,18.2586057301919,10.568697742018,28.3555424445008,"Hospital"
67.5,23.9683790358548,14.1099519267208,36.526939937195,"Hospital"
72.5,30.7631684638205,18.4743247180081,45.6155047778148,"Hospital"
77.5,38.4627035225898,23.7565180149577,55.2838408016777,"Hospital"
82.5,46.7271198836288,29.8127974691338,64.6317538946529,"Hospital"
87.5,55.1101045525426,36.623284158756,73.0231499254129,"Hospital"
2.5,3.2665183953842,1.40015597582994,6.1489240067631,"ICU"
7.5,4.06670309004664,1.82980543819865,7.41854461856498,"ICU"
12.5,5.05490341783727,2.37167284832257,9.01205711879585,"ICU"
17.5,6.27011098598518,3.05702021846708,10.956295013759,"ICU"
22.5,7.75645949504213,3.88092339218522,13.1866647598325,"ICU"
27.5,9.56227620954832,4.9774268464395,15.910774489782,"ICU"
32.5,11.7380943236268,6.28315334104683,19.1491993327614,"ICU"
37.5,14.3332955634015,7.85980904104779,22.8289834742481,"ICU"
42.5,17.3911519858066,9.7435667868466,27.1191731813147,"ICU"
47.5,20.9423076394662,12.0287955408655,31.8288527741759,"ICU"
52.5,24.997226519901,14.7245249098163,37.1369282865403,"ICU"
57.5,29.5387854026205,17.7943462679262,42.9099013337674,"ICU"
62.5,34.5168004444348,21.4007531453198,49.1151816575697,"ICU"
67.5,39.8464806322209,25.3080984208503,55.4020787663053,"ICU"
72.5,45.4122543826781,29.621288516904,61.7047523224139,"ICU"
77.5,51.0770964321685,34.2647505094966,67.5252800841876,"ICU"
82.5,56.6958528616721,39.2820156233642,72.9077617354783,"ICU"
87.5,62.1298442725454,44.5084295175387,77.8769939714326,"ICU"
